
Zeus x27 | Olympus (Field-Tested)
M4A1-S | Nitro (Field-Tested)
StatTrak™ M4A4 | Temukau (Battle-Scarred)
Music Kit | Perfect World, 花脸 Hua Lian (Painted Face)
Five-SeveN | Scrawl (Factory New)
B Squadron Officer | SAS
Sticker | Complexity Gaming (Gold) | Paris 2023
Sticker | Team Liquid (Holo) | Paris 2023
Sticker | Co Co Co
Desert Eagle | Conspiracy (Minimal Wear)
Five-SeveN | Hybrid (Battle-Scarred)
PP-Bizon | High Roller (Field-Tested)
M249 | Downtown (Well-Worn)
Sealed Graffiti | Applause (Blood Red)
SSG 08 | Acid Fade (Factory New)
Name Tag
M4A1-S | Hyper Beast (Field-Tested)
P250 | Nevermore (Factory New)
StatTrak™ Nova | Wild Six (Factory New)
Glock-18 | Water Elemental (Minimal Wear)
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)
StatTrak™ Sawed-Off | Black Sand (Minimal Wear)
M4A4 | Converter (Minimal Wear)
Glock-18 | Nuclear Garden (Minimal Wear)
Sawed-Off | Full Stop (Minimal Wear)
Glock-18 | Candy Apple (Minimal Wear)
FAMAS | Teardown (Minimal Wear)
AK-47 | Head Shot (Field-Tested)
Sealed Graffiti | Little Crown (Desert Amber)
M249 | Downtown (Factory New)
MP5-SD | Phosphor (Factory New)
Desert Eagle | Urban Rubble (Minimal Wear)
Desert Eagle | Urban Rubble (Factory New)
Sticker | karrigan (Holo) | Paris 2023
Sawed-Off | Kiss♥Love (Minimal Wear)
AWP | Pit Viper (Minimal Wear)
AWP | Acheron (Factory New)
AK-47 | The Empress (Factory New)
Desert Eagle | Trigger Discipline (Field-Tested)
StatTrak™ P250 | Cassette (Minimal Wear)
Nova | Rising Skull (Factory New)
CZ75-Auto | Victoria (Factory New)
AWP | Graphite (Factory New)
AK-47 | Cartel (Field-Tested)
SSG 08 | Turbo Peek (Field-Tested)
AK-47 | Safety Net (Field-Tested)
M4A4 | Neo-Noir (Well-Worn)
Name Tag
M4A1-S | Leaded Glass (Minimal Wear)
★ Kukri Knife | Crimson Web (Field-Tested)
StatTrak™ R8 Revolver | Banana Cannon (Minimal Wear)
StatTrak™ MAG-7 | Foresight (Factory New)
M4A4 | In Living Color (Field-Tested)
StatTrak™ AWP | PAW (Minimal Wear)
P90 | Traction (Factory New)
Tec-9 | Brass (Field-Tested)
StatTrak™ SG 553 | Ultraviolet (Minimal Wear)
StatTrak™ PP-Bizon | Photic Zone (Field-Tested)
StatTrak™ M249 | Nebula Crusader (Field-Tested)
SSG 08 | Lichen Dashed (Field-Tested)
★ StatTrak™ Nomad Knife | Stained (Field-Tested)
StatTrak™ Galil AR | Rocket Pop (Well-Worn)
MAG-7 | Justice (Field-Tested)
Sticker | jks | London 2018
★ Driver Gloves | Overtake (Field-Tested)
★ StatTrak™ Flip Knife | Lore (Field-Tested)
M4A1-S | Emphorosaur-S (Minimal Wear)
Sticker | s1mple (Holo) | Stockholm 2021
Galil AR | Sandstorm (Field-Tested)
AWP | PAW (Well-Worn)
StatTrak™ Negev | Desert-Strike (Factory New)
M249 | Magma (Field-Tested)
AK-47 | Ice Coaled (Field-Tested)
StatTrak™ Music Kit | Blitz Kids, The Good Youth
MP7 | Abyssal Apparition (Minimal Wear)
Sticker | Spirit (Holo) | 2020 RMR
AK-47 | Neon Rider (Minimal Wear)
Sticker | kioShiMa | Katowice 2019
★ StatTrak™ Stiletto Knife | Boreal Forest (Field-Tested)
Sticker | dupreeh (Holo, Champion) | Paris 2023
Sticker | G2 Esports (Holo) | Antwerp 2022
Dual Berettas | Melondrama (Well-Worn)
Desert Eagle | Midnight Storm (Factory New)
Sticker | Team Spirit (Holo) | Rio 2022
AK-47 | Ice Coaled (Field-Tested)
Sticker | NiKo (Holo) | Antwerp 2022
AK-47 | The Empress (Field-Tested)
Desert Eagle | Trigger Discipline (Well-Worn)
M4A1-S | Black Lotus (Field-Tested)
M4A4 | Temukau (Field-Tested)
Galil AR | Akoben (Minimal Wear)
AK-47 | Uncharted (Field-Tested)
